seq,xcol, ycol
744,1221.3243, 5166.2056
745,2976.673, 1351.6458
746,2901.432, 5565.865
747,840.1082, 3264.6707
748,0.0, 400.0908
749,0.0, 423.51413
750,3010.8848, 910.0087
751,955.1942, 628.61194
752,1019.4833, 5323.7485
753,3605.1611, 744.0456
754,574.96686, 4795.419
755,994.8715, 5305.1724
756,102.169685, 5499.4053
757,3487.9216, 1779.5762
758,1737.1066, 5309.8877
759,1767.6442, 4905.006
760,1061.8406, 3696.4875
761,845.59344, 4839.9043
762,2101.1697, 4434.609
763,1432.7986, 508.90323
764,3012.9426, 5844.897
765,1268.8997, 2583.4485
766,1556.7036, 1039.9835
767,0.0, 477.2337
768,1501.5704, 6361.572
769,3902.3354, 5891.0103
770,940.1365, 4755.5176
771,763.26843, 733.05896
772,610.7336, 491.00412
773,0.0, 400.0908
774,1972.907, 676.7285
775,966.1427, 5807.4043
776,625.86163, 1076.8612
777,632.73724, 794.8379
778,186.35541, 4795.0596
779,0.0, 702.8377
780,2094.7349, 3589.9817
781,3583.42, 5627.4385
782,541.9402, 4040.8413
783,1774.2743, 5888.2046
784,5414.755, 1512.3394
785,4716.2163, 5682.8833
786,1030.4178, 5395.3804
787,1332.6752, 4846.435
788,2517.844, 5209.7324
789,0.0, 446.9332
790,0.0, 845.59344
791,2868.9846, 6588.294
792,0.0, 1312.3358
793,985.297, 2305.5405
794,1614.3647, 384.93234
795,967.5111, 912.7483
796,870.2711, 493.75803
797,1791.4982, 581.84607
798,42.80608, 1046.815
799,1381.4307, 680.85156
800,1670.5109, 794.8379
801,4941.317, 2939.8582
802,1875.9703, 5879.3457
803,1239.003, 5992.523
804,2652.6877, 5754.5107
805,1403.0717, 5961.1914
806,3035.4573, 595.6031
807,27.617659, 4949.6675
808,1202.2758, 5199.0483
809,521.2932, 5180.7734
810,176.69653, 1948.0986
811,2473.1672, 5090.2407
812,1858.857, 1806.0554
813,0.0, 517.1634
814,668.4818, 837.3654
815,0.0, 1745.079
816,506.1497, 636.86237
817,2081.8508, 651.9861
818,0.0, 734.4324
819,1157.336, 849.70703
820,752.2846, 5754.064
821,572.215, 5694.173
822,0.0, 1392.2534
823,2056.026, 4853.069
824,211.19026, 445.55573
825,1942.8685, 2597.6287
826,2478.0173, 2428.0764
827,0.0, 485.49615
828,1709.1704, 1852.2687
829,4296.5103, 6006.7324
830,1670.5109, 2331.7507
831,2446.405, 6135.334
832,2111.4553, 4986.2773
833,1658.4948, 1359.7721
834,686.34863, 519.9166
835,3730.6038, 6495.084
836,1278.4065, 610.7336
837,164.27727, 537.8111
838,1428.747, 4922.9595
839,0.0, 4030.3262
840,3001.6028, 5629.2793
841,3091.7686, 5440.8403
842,140.81657, 485.49615
843,3699.8125, 6143.193
844,814.0472, 871.6418
845,2018.4507, 6465.781
846,1473.2772, 5195.119
847,535.0583, 6141.5293
848,0.0, 541.9402
849,2976.673, 6374.2935
850,701.46375, 1690.5187
851,464.83896, 3521.286
852,1401.7196, 474.47943
853,580.4703, 1854.9044
854,4539.85, 6843.9316
855,186.35541, 5676.6543
856,361.5024, 651.9861
857,3604.4424, 6000.2275
858,1870.7073, 4822.3506
859,86.98511, 837.3654
860,0.0, 419.3809
861,883.9767, 4933.0083
862,0.0, 4951.525
863,1253.9547, 3734.4753
864,4099.2695, 5786.4395
865,3083.8127, 4640.062
866,354.61053, 5042.1094
867,1302.8394, 4117.7803
868,767.38696, 5778.093
869,1278.4065, 441.42322
870,0.0, 1050.9133
871,2270.4224, 4204.4395
